25.62,16.79,-27.37,10.516,21.719,-38.608
25.69,16.15,-20.13,10.121,20.186,-28.882
25.69,20.67,-27.30,10.588,26.843,-37.898
25.75,12.84,-20.48,10.007,14.93,-29.274
25.84,17.94,-21.70,9.52,22.486,-32.412
25.92,14.42,-24.24,10.374,18.321,-33.79
25.95,18.07,-23.59,10.37,23.779,-33.04
26.00,14.17,-9.55,7.763,17.213,-19.113
26.07,12.55,-10.49,7.914,13.737,-20.285
26.08,13.74,-16.23,9.549,17.278,-24.913
26.08,20.52,-19.74,10.102,25.278,-29.694
26.09,14.54,-16.35,10.215,16.904,-24.499
26.10,14.43,-21.08,9.71,17.538,-32.122
26.13,12.31,-26.42,11.876,14.32,-37.343
26.17,21.29,-23.09,11.906,28.621,-36.371
26.17,17.20,-25.67,11.829,22.327,-38.884
26.18,11.59,-11.27,9.167,13.613,-19.881
26.19,10.57,-16.22,9.53,11.791,-25.312
26.20,16.16,-19.37,9.972,19.825,-28.168
26.26,18.96,-17.56,11.444,23.656,-27.306
26.26,8.81,-11.23,9.139,8.181,-20.263
26.27,24.69,-25.92,12.015,29.395,-35.252
26.33,11.55,-15.65,10.206,12.268,-23.986
26.36,9.89,-9.21,8.135,9.993,-19.244
26.37,21.58,-33.96,12.706,29.556,-46.616
26.38,14.75,-20.62,10.596,18.836,-32.593
26.39,12.78,-18.78,10.014,14.829,-27.71
26.43,8.71,-19.85,11.248,7.346,-28.464
26.44,6.22,-10.63,9.284,-0.421,-18.312
26.47,18.76,-17.85,10.706,23.247,-26.355
26.50,25.89,-42.38,14.512,35.085,-55.612
26.55,21.45,-21.78,11.663,26.974,-30.746
26.56,30.74,-37.72,14.589,41.332,-52.354
26.58,16.33,-15.40,11.097,20.441,-25.531
26.58,11.71,-9.85,8.928,12.717,-17.231
26.61,18.03,-28.39,11.754,24.445,-40.616
26.61,12.63,-13.42,10.092,14.819,-21.904
26.65,15.09,-11.07,9.13,20.819,-27.414
26.66,5.53,-11.69,10.268,0.381,-20.11
26.67,26.02,-31.08,13.228,35.743,-45.144
26.67,16.20,-14.16,10.82,20.627,-23.262
26.69,16.68,-14.83,11.516,20.047,-23.306
26.69,10.93,-8.29,9.866,11.857,-15.76
26.70,13.81,-10.58,10.448,16.576,-18.686
26.71,21.21,-34.99,13.333,28.951,-48.12
26.73,12.58,-16.98,10.884,14.313,-27.467
26.73,14.32,-9.48,10.575,19.257,-20.809
26.74,4.43,-15.19,11.039,-3.951,-23.153
26.74,9.20,-8.53,8.789,8.998,-16.027
26.74,9.74,-22.98,12.004,10.271,-32.335
26.74,13.37,-9.16,9.288,16.114,-16.566
26.75,18.05,-18.07,11.055,24.16,-30.136
